【来源】https://github.com/xisohi/CHINA-IPTV
央视,#genre#
CETV4,http://120.210.193.151:8006/120000001002/XMTcetv-4/index.m3u8
CETV4,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/zgjy4hd8m/index.m3u8

其它,#genre#
爱情喜剧,http://120.210.193.151:8006/120000000058/GITV-AH-18/GITV-AH-18m3u8
安徽导视,http://120.210.193.151:8006/120000001002/XMTah_gddspd/index.m3u8
安庆经济生活,http://120.210.193.151:8006/120000001002/XMTaqjjsh/1.m3u8
安庆新闻,http://120.210.193.151:8006/120000001002/XMTaqxw/1.m3u8
蚌埠新闻,http://120.210.193.151:8006/120000001002/XMTbbxw/1.m3u8
兵器科技,http://120.210.193.151:8006/120000001002/XMTbqsd/1.m3u8
亳州农村,http://120.210.193.151:8006/120000001002/XMTbznc/1.m3u8
亳州新闻,http://120.210.193.151:8006/120000001002/XMTbzxw/1.m3u8
茶,http://120.210.193.151:8006/120000001002/XMTcha/1.m3u8
池州文教,http://120.210.193.151:8006/120000001002/XMTczwj/1.m3u8
池州新闻,http://120.210.193.151:8006/120000001002/XMTczxw/1.m3u8
滁州新闻,http://120.210.193.151:8006/120000001002/XMTchzxw/1.m3u8
动漫秀场,http://120.210.193.151:8006/120000001002/XMTdmxc/1.m3u8
动漫秀场,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/dmxc8m/index.m3u8
风云剧场,http://120.210.193.151:8006/120000001002/XMTfyjc/1.m3u8
风云音乐,http://120.210.193.151:8006/120000001002/XMTfyyy/1.m3u8
风云足球,http://120.210.193.151:8006/120000001002/XMTfyzq/1.m3u8
阜阳都市,http://120.210.193.151:8006/120000001002/XMTfyds/1.m3u8
阜阳公共,http://120.210.193.151:8006/120000001002/XMTfygg/1.m3u8
阜阳教育,http://120.210.193.151:8006/120000001002/XMTfyjy/1.m3u8
阜阳新闻,http://120.210.193.151:8006/120000001002/XMTfyxw/1.m3u8
海豚健康,http://120.210.193.151:8006/120000001002/XMThtjk/1.m3u8
海豚少儿,http://120.210.193.151:8006/120000001002/XMThtse/1.m3u8
海豚生活,http://120.210.193.151:8006/120000001002/XMThtsh/index.m3u8
海豚影视,http://120.210.193.151:8006/120000001002/XMThtys/1.m3u8
好享购物,http://120.210.193.151:8006/120000001002/XMTGW_hxg/1.m3u8
合肥新闻,http://120.210.193.151:8006/120000001002/XMThfxw/1.m3u8
怀旧剧场,http://120.210.193.151:8006/120000001002/XMThjjc/1.m3u8
淮北新闻,http://120.210.193.151:8006/120000001002/XMThbxw/1.m3u8
淮南新闻,http://120.210.193.151:8006/120000001002/XMThnxw/1.m3u8
黄山公共,http://120.210.193.151:8006/120000001002/XMThsgg/1.m3u8
黄山新闻,http://120.210.193.151:8006/120000001002/XMThsxw/1.m3u8
徽生活,http://120.210.193.151:8006/120000001002/GDhuish/index.m3u8
霍山新闻,http://120.210.193.151:8006/120000001002/XMTah_lahsxw/1.m3u8
蚌埠生活,http://120.210.193.151:8006/120000001002/XMTbbsh/1.m3u8
超级电视剧,http://120.210.193.151:8006/120000000058/GITV-AH-11/GITV-AH-11.m3u8
超级电影,http://120.210.193.151:8006/120000000058/GITV-AH-12/GITV-AH-12.m3u8
超级体育,http://120.210.193.151:8006/120000000058/GITV-AH-1/GITV-AH-1.m3u8
超级综艺,http://120.210.193.151:8006/120000000058/GITV-AH-2/GITV-AH-2.m3u8
