央视,#genre#
CCTV17,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638728afa13b4/index.m3u8?m3u8_level=2
CCTV17,http://111.48.34.138/000000001000PLTV/88888888/224/3221229831/1.m3u8
CGTN,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63806f4f64099/index.m3u8?m3u8_level=2
CGTN,http://111.48.34.138/000000001000PLTV/88888888/224/3221230396/1.m3u8
CGTN,http://111.48.34.138/000000001000PLTV/88888888/224/3221229681/1.m3u8
CGTN西语,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63806f81c8eb5/index.m3u8?m3u8_level=2
CGTN西语,http://111.48.34.138/000000001000PLTV/88888888/224/3221230480/1.m3u8
CGTN西语,http://111.48.34.138/000000001000PLTV/88888888/224/3221230398/1.m3u8
CGTN法语,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63806fb631afe/index.m3u8?m3u8_level=2
CGTN法语,http://111.48.34.138/000000001000PLTV/88888888/224/3221230453/1.m3u8
CGTN法语,http://111.48.34.138/000000001000PLTV/88888888/224/3221230533/1.m3u8
CGTN俄语,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638071d299009/index.m3u8?m3u8_level=2
CGTN俄语,http://111.48.34.138/000000001000PLTV/88888888/224/3221230478/1.m3u8
CGTN俄语,http://111.48.34.138/000000001000PLTV/88888888/224/3221230408/1.m3u8
CGTN阿语,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638071b0e6a2c/index.m3u8?m3u8_level=2
CGTN阿语,http://111.48.34.138/000000001000PLTV/88888888/224/3221230531/1.m3u8
CGTN阿语,http://111.48.34.138/000000001000PLTV/88888888/224/3221230402/1.m3u8
CGTN纪录,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63a15d0ee63f3/index.m3u8?m3u8_level=2

卫视,#genre#
安徽卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3540416BESTVSMGSMG/index.m3u8?m3u8_level=2
安徽卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230505/1.m3u8
安徽卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229778/1.m3u8
北京卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN181361BESTVSMGSMG/index.m3u8?m3u8_level=2
北京卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229741/1.m3u8
北京卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230501/1.m3u8
北京卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230606/1.m3u8
重庆卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3840707BESTVSMGSMG9/index.m3u8?m3u8_level=2
重庆卫视,http://111.48.34.237/PLTV/88888888/224/3221229756/1.m3u8
重庆卫视,http://111.48.34.237/PLTV/88888888/224/3221230139/1.m3u8
东方卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN111131BESTVSMGSMG/index.m3u8?m3u8_level=2
东方卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229808/1.m3u8
东方卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230448/1.m3u8
甘肃卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6000067BESTVSMGSMG/index.m3u8?m3u8_level=2
甘肃卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230502/1.m3u8
甘肃卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230521/1.m3u8
广东卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN181359BESTVSMGSMG/index.m3u8?m3u8_level=2
广东卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230503/1.m3u8
广西卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000045BESTVSMGSMG/index.m3u8?m3u8_level=2
广西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230328/1.m3u8
贵州卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN4252663BESTVSMGSMG9/index.m3u8?m3u8_level=2
贵州卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229758/1.m3u8
贵州卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230138/1.m3u8
海南卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN4252684BESTVSMGSMG9/index.m3u8?m3u8_level=2
海南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229794/1.m3u8
海南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230141/1.m3u8
河北卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN100000002BESTVSMGSMG9/index.m3u8?m3u8_level=2
河北卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229840/1.m3u8
河北卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230143/1.m3u8
河南卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000044BESTVSMGSMG/index.m3u8?m3u8_level=2
河南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229870/1.m3u8
河南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230511/1.m3u8
黑龙江卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN181356BESTVSMGSMG/index.m3u8?m3u8_level=2
黑龙江卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229816/1.m3u8
黑龙江卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230462/1.m3u8
湖北卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN911989BESTVSMGSMG/index.m3u8?m3u8_level=2
湖北卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229812/1.m3u8
湖北卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230457/1.m3u8
湖北卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230509/1.m3u8
湖南卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN181358BESTVSMGSMG9/index.m3u8?m3u8_level=2
湖南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229739/1.m3u8
湖南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229983/1.m3u8
吉林卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000046BESTVSMGSMG/index.m3u8?m3u8_level=2
吉林卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230361/1.m3u8
江苏卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN111129BESTVSMGSMG/index.m3u8?m3u8_level=2
江苏卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229743/1.m3u8
江苏卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230497/1.m3u8
江西卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3468921BESTVSMGSMG/index.m3u8?m3u8_level=2
江西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229752/1.m3u8
江西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230519/1.m3u8
辽宁卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3450001BESTVSMGSMG/index.m3u8?m3u8_level=2
辽宁卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229825/1.m3u8
辽宁卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230464/1.m3u8
内蒙古卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN79469BESTVSMGSMG9/index.m3u8?m3u8_level=2
内蒙古卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229704/1.m3u8
内蒙古卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230039/1.m3u8
宁夏卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN160782BESTVSMGSMG9/index.m3u8?m3u8_level=2
宁夏卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229688/1.m3u8
宁夏卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230036/1.m3u8
青海卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN67026BESTVSMGSMG9/index.m3u8?m3u8_level=2
青海卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229731/1.m3u8
青海卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230101/1.m3u8
山东卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN911992BESTVSMGSMG/index.m3u8?m3u8_level=2
山东卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229827/1.m3u8
山东卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230456/1.m3u8
山西卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN1344BESTVSMGSMG9/index.m3u8?m3u8_level=2
山西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229721/1.m3u8
山西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230038/1.m3u8
陕西卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6000056BESTVSMGSMG/index.m3u8?m3u8_level=2
陕西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229735/1.m3u8
陕西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230525/1.m3u8
深圳卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN181362BESTVSMGSMG/index.m3u8?m3u8_level=2
深圳卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229712/1.m3u8
深圳卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230454/1.m3u8
四川卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3840706BESTVSMGSMG9/index.m3u8?m3u8_level=2
四川卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229901/1.m3u8
